"UCLA Extension (UNEX) Admin","10960 Wilshire Blvd. 16/17th Floor, Los Angeles, CA 90024",34.0578191,-118.4460183
"UCLA Extension Lindbrook Center","10920 Lindbrook Dr., Los Angeles, CA 90024",34.059297,-118.445254
"UCLA Extension Gayley Center","1145 Gayley Ave., Los Angeles, CA 90024",34.0595924,-118.4463684
"UCLA Guest House","330 Charles E. Young Dr. East, Los Angeles, CA 90024",34.0745182,-118.4385016
"UCLA Lab School (UES)","305 Sycamore Court, Los Angeles, CA 90024",34.075333,-118.444123
"UCLA Westwood Center","924 Westwood Blvd., Los Angeles, CA 90024",34.0621901,-118.4449848
"Ueberroth Building","10945 Le Conte Ave., Los Angeles, CA 90024",34.0640265,-118.4469932
"University Residence","10570 Sunset Blvd., Los Angeles, CA 90024",34.0771964,-118.4412509
"Village Terrace Appartments","919-923 Levering Ave., Los Angeles, CA 90024",34.06282,-118.448915
"Wallis Annenberg Stadium",,34.0726059,-118.4449838
"Warren Hall","900 Weyburn Place North, Los Angeles, CA 90024",34.0625088,-118.4499425
"Wasserman Building","300 Stein Plaza, Los Angeles, CA 90024",34.0653176,-118.4446039
"Wasserman Football Center","430 Charles E. Young Dr. West, Los Angeles, CA 90024",34.0653176,-118.4446039
"James West Alumni Center","325 Westwood Plaza, Los Angeles, CA 90024",34.0702313,-118.445186
"West Medical Building","1010 Veteran Ave., Los Angeles, CA 90024",34.0604168,-118.4472229
"West Medical Steam Plant","1021 Weyburn Place South, Los Angeles, CA 90024",34.061004,-118.4482162
"Weyburn Terrace Housing Complex",,34.0631587,-118.4508505
"Wilshire Center","10920 Wilshire Blvd., Los Angeles, CA 90024",34.0581942,-118.4444166
"Wooden Recreation and Sports Center","221 Westwood Plaza, Los Angeles, CA 90024",34.0715969,-118.4452261
"Young Hall","607 Charles E. Young Dr. East, Los Angeles, CA 90024",34.0685828,-118.4415114
"Young Research Library (YRL)","280 Charles E. Young Dr. North, Los Angeles, CA 90024",34.0749691,-118.441466
"700 Westwood Plaza","700 Westwood Plaza, Los Angeles, CA 90024",34.0667059,-118.4447794
"W Los Angeles","930 Hilgard Ave, Los Angeles, CA 90024",34.063259,-118.441103
"The Hideout","930 Hilgard Ave., Los Angeles, CA 90024",34.0633123,-118.440862
"Barney’s Beanery","1037 Broxton Ave., Los Angeles, CA 90024",34.0617022,-118.446657
"BJ’s Restaurant & Brewhouse","939 Broxton Ave., Los Angeles, CA 90024",34.0629112,-118.4472063
"California Pizza Kitchen (CPK)","1001 Broxton Ave., Los Angeles, CA 90024",34.062305,-118.447162
"Chick-fil-A","900 Westwood Blvd., Los Angeles, CA 90024",34.0635092,-118.4451436
"Corner Bakery Café","1019 Westwood Blvd., Los Angeles, CA 90024",34.062222,-118.445615
"Denny’s","1060 Tiverton Ave., Los Angeles, CA 90024",34.0602266,-118.4430663
"Fat Sal’s Deli","972 Gayley Ave., Los Angeles, CA 90024",34.0625171,-118.4480269
